,,,HTC,initial tweets,74425,cleaned,6275,,,
,Random 100,K Means 5,10,25,50,100,LDA,Ranking,Aspect Based,random all
entropy,8.513168579,8.533197634,7.989549608,7.86012403,7.113522483,6.871757541,,8.938147259,9.094436712,9.844506367
dist,0.008113153,0.0086031747,0.0078620583,0.0087258663,0.0068213725,0.0071875196,,0.0055084116,0.0068600383,
word2vec,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,Uber,initial tweets,141675,cleaned,10308,,,
,Random 100,K Means 5,10,25,50,100,LDA,Ranking,Aspect Based,random all
entropy,8.853046966,8.784150412,8.84595332,8.525156089,8.355820075,8.147582262,,9.131325472,,10.91769912
dist,0.0105022966,0.0117670435,0.0107252434,0.0120602937,0.0098797691,0.0099701087,,0.0057035774,,
word2vec,,,,,,,,,,
,,,,,,,,,,
,,,Obama,initial tweets,121393,cleaned,18154,,,
,Random 100,K Means 5,10,25,50,100,LDA,Ranking,Aspect Based,random all
entropy,9.03364143,9.141332388,8.942211358,"8.865914381
 
",8.851511801,8.414044362,,9.078571245,,11.33520235
dist,0.0087317772,0.0087724266,0.0085799703,0.0089808499,0.0088763488,0.0090482335,,0.005539502,,
word2vec,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,Samsung,initial tweets,96695,cleaned,11960,,,
,Random 100,K Means 5,10,25,50,100,LDA,Ranking,Aspect Based,random all
entropy,8.590587787,8.561097092,8.610082057,8.413090146,8.256464108,7.774322083,,8.361280827,,10.55621053
dist,0.0080917111,0.0082389919,0.0083272716,0.0082383098,0.0072935582,0.0075585062,,0.0051478551,,
word2vec,,,,,,,,,,
,,,,,,,,,,
,,,Beyonce,initial tweets,121285,cleaned,3614,,,
,Random 100,K Means 5,10,25,50,100,LDA,Ranking,Aspect Based,random all
entropy,8.824525032,8.62244796,8.478401718,7.997610035,8.038409873,7.390744436,,8.956417705,,10.68603361
dist,0.0144560262,0.0142021362,0.0162365746,0.0178896453,0.0148791041,0.0147220124,,0.0055407398,,
word2vec,,,,,,,,,,
